"","HComplete.AR.non.scaled","HWardD.AR.non.scaled","HWardD2.AR.non.scaled","HSingle.AR.non.scaled","HAverage.AR.non.scaled","HMcQuitty.AR.non.scaled","HMedian.AR.non.scaled","HCentroid.AR.non.scaled","Genie.AR.non.scaled","Genie0.2.AR.non.scaled","Genie0.4.AR.non.scaled","Genie0.5.AR.non.scaled","Genie0.6.AR.non.scaled","Genie0.7.AR.non.scaled","ASingle.AR.non.scaled","ownq1.AR.non.scaled","own2q.AR.non.scaled","own3q.AR.non.scaled","own5.AR.non.scaled","own10.AR.non.scaled","own12.AR.non.scaled","own15.AR.non.scaled","own.AR.non.scaled","HComplete.FM.non.scaled","HWardD.FM.non.scaled","HWardD2.FM.non.scaled","HSingle.FM.non.scaled","HAverage.FM.non.scaled","HMcQuitty.FM.non.scaled","HMedian.FM.non.scaled","HCentroid.FM.non.scaled","Genie.FM.non.scaled","Genie0.2.FM.non.scaled","Genie0.4.FM.non.scaled","Genie0.5.FM.non.scaled","Genie0.6.FM.non.scaled","Genie0.7.FM.non.scaled","ASingle.FM.non.scaled","ownq1.FM.non.scaled","own2q.FM.non.scaled","own3q.FM.non.scaled","own5.FM.non.scaled","own10.FM.non.scaled","own12.FM.non.scaled","own15.FM.non.scaled","own.FM.non.scaled","HComplete.AR.scaled","HWardD.AR.scaled","HWardD2.AR.scaled","HSingle.AR.scaled","HAverage.AR.scaled","HMcQuitty.AR.scaled","HMedian.AR.scaled","HCentroid.AR.scaled","Genie.AR.scaled","Genie0.2.AR.scaled","Genie0.4.AR.scaled","Genie0.5.AR.scaled","Genie0.6.AR.scaled","Genie0.7.AR.scaled","ASingle.AR.scaled","ownq1.AR.scaled","own2q.AR.scaled","own3q.AR.scaled","own5.AR.scaled","own10.AR.scaled","own12.AR.scaled","own15.AR.scaled","own.AR.scaled","HComplete.FM.scaled","HWardD.FM.scaled","HWardD2.FM.scaled","HSingle.FM.scaled","HAverage.FM.scaled","HMcQuitty.FM.scaled","HMedian.FM.scaled","HCentroid.FM.scaled","Genie.FM.scaled","Genie0.2.FM.scaled","Genie0.4.FM.scaled","Genie0.5.FM.scaled","Genie0.6.FM.scaled","Genie0.7.FM.scaled","ASingle.FM.scaled","ownq1.FM.scaled","own2q.FM.scaled","own3q.FM.scaled","own5.FM.scaled","own10.FM.scaled","own12.FM.scaled","own15.FM.scaled","own.FM.scaled"
"atom",0.08353,1,0.09863,1,0.09863,0.21321,0.00013,0.00345,1,1,1,1,1,1,1,0.01443,0.00126,0.18637,0.22255,1,0.2518,1,0.00733,0.6468,1,0.64628,1,0.64628,0.66112,0.7023,0.68703,1,1,1,1,1,1,1,0.51327,0.50226,0.65551,0.6633,1,0.67077,1,0.50618,0.31011,1,0.06707,1,0.05242,0.25432,0.0017,0.00013,1,1,1,1,1,1,1,0.00642,0.10502,0.15733,1,1,1,1,0.05892,0.68817,1,0.64851,1,0.65135,0.67145,0.69241,0.7023,1,1,1,1,1,1,1,0.50428,0.64631,0.65068,1,1,1,1,0.5434
"chainlink",0.31305,0.39386,0.28034,1,0.27192,0.40144,0.28888,0.20375,1,1,1,1,1,1,1,0.41415,0.14236,0.00698,-0.00099,1,-0.001,-0.001,0.14236,0.68922,0.71777,0.67901,1,0.67653,0.72065,0.68159,0.65915,1,1,1,1,1,1,1,0.70693,0.64891,0.631,0.50236,1,0.49958,0.499,0.64891,-0.00098,-0.00096,-0.001,1,0.1878,0.15787,0.09563,0.08954,1,1,1,1,1,1,1,0.55011,-0.00093,0.08206,-0.00022,-0.001,-0.001,1,-0.00093,0.50418,0.50894,0.49958,1,0.65591,0.65088,0.64646,0.64664,1,1,1,1,1,1,1,0.77485,0.50174,0.54863,0.49988,0.4999,0.49958,1,0.50174
"engytime",0.04058,0.75365,0.71845,0,0.05101,0.03186,0.02313,0.00021,0.81242,0.81242,0.81242,0.81242,0.81242,0.00477,0,0.79229,0.75111,0.18492,0.80714,0.33748,0.23161,0.22974,0.53991,0.65437,0.87695,0.86024,0.70668,0.65002,0.65893,0.65403,0.70193,0.90648,0.90648,0.90648,0.90648,0.90648,0.68469,0.70668,0.89663,0.87648,0.65407,0.90393,0.688,0.62612,0.62556,0.77297,0.1053,0.8239,0.80802,0,0.01047,0.04811,0.00066,0.00021,0.81242,0.81242,0.81242,0.81242,0.00701,0.00701,0,0.25971,0.73176,0.00251,0.77156,0.35297,0.35414,0.21499,0.73176,0.62887,0.912,0.9044,0.70668,0.67402,0.58169,0.69817,0.70193,0.90648,0.90648,0.90648,0.90648,0.6799,0.6799,0.70668,0.65864,0.86705,0.57205,0.88641,0.68971,0.68982,0.61884,0.86705
"hepta",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8141,0.31529,0.56757,0.54905,0.53879,0.80745,0.67383,0.76138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84865,0.45896,0.66343,0.64549,0.64585,0.84088,0.73454,0.80048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.56738,0.36909,0.29639,0.83053,0.80745,0.80745,0.54721,0.77047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.67377,0.49689,0.45907,0.86232,0.84088,0.84088,0.65008,0.80738
"lsun",0.40461,0.36594,0.36882,1,0.36109,0.30651,0.47126,0.71079,1,1,1,1,1,1,1,0.42617,0.46041,0.05796,0.5423,0.48335,1,0.43084,0.3593,0.6272,0.60347,0.60519,1,0.60438,0.5742,0.66946,0.83302,1,1,1,1,1,1,1,0.63428,0.66036,0.48214,0.70804,0.67833,1,0.6521,0.58545,0.36746,0.37848,0.38529,1,0.39755,0.42128,0.42797,0.33956,1,1,1,1,1,1,1,0.36586,0.34256,0.32969,0.46747,0.52716,0.43972,0.52458,0.5318,0.60367,0.61289,0.61718,1,0.62278,0.63622,0.65194,0.59475,1,1,1,1,1,1,1,0.60936,0.58614,0.61375,0.66667,0.69896,0.65417,0.69679,0.7028
"target",0.20668,0.63894,0.63878,1,0.14559,0.2994,0.25488,0.08961,0.42911,0.3781,0.64119,0.65058,0.65058,0.71265,1,0.6354,0.64167,0.3749,0.38649,0.19146,0.27096,0.3335,0.45077,0.66284,0.79494,0.79483,1,0.65766,0.68407,0.67241,0.66716,0.64935,0.60909,0.79636,0.80229,0.80229,0.8405,1,0.79269,0.79667,0.66156,0.61586,0.46992,0.51986,0.57164,0.66699,0.39132,0.63894,0.63878,1,0.14559,0.15519,0.11101,0.09545,0.42911,0.3781,0.64119,0.65058,0.65058,0.71265,1,0.63662,0.60711,0.47618,0.38955,0.34655,0.38392,0.24281,0.26824,0.67861,0.79494,0.79483,1,0.65766,0.65777,0.66078,0.6649,0.64935,0.60909,0.79636,0.80229,0.80229,0.8405,1,0.79346,0.77512,0.70586,0.61832,0.58284,0.61378,0.49612,0.51698
"tetra",0.9867,1,0.96727,-3e-05,0.99332,1,0.67134,0.96727,1,1,1,1,1,0.33166,-3e-05,0.6249,0.69887,0.09643,0.75852,0.63648,0.73019,1,1,0.99,1,0.97539,0.49436,0.99497,1,0.78593,0.97539,1,1,1,1,1,0.62802,0.49436,0.74312,0.77663,0.39026,0.81845,0.7516,0.80622,1,1,0.9867,1,0.96727,-3e-05,0.99332,0.9867,0.67134,0.96727,1,1,1,1,1,0.33166,-3e-05,0.63492,0.69845,0.1183,0.64109,0.63764,0.84503,1,0.61569,0.99,1,0.97539,0.49436,0.99497,0.99,0.78593,0.97539,1,1,1,1,1,0.62802,0.49436,0.74874,0.77631,0.41793,0.75608,0.75256,0.88432,1,0.73072
"twodiamonds",0.98504,1,1,0,0.995,0.995,0.6476,0.995,0.97513,0.97513,0.97513,0.97513,0.97513,0.97513,0,0.11453,0.995,0.26195,0.995,1,1,1,0.995,0.99251,1,1,0.70578,0.9975,0.9975,0.82702,0.9975,0.98755,0.98755,0.98755,0.98755,0.98755,0.98755,0.70578,0.56508,0.9975,0.67357,0.9975,1,1,1,0.9975,0.00518,0.98504,1,0,0.97019,0.08469,0.00092,0.00317,0.98008,0.98008,0.98008,0.98008,0.98008,0.00035,0,-0.00085,0.13397,0.45501,0.32994,1,0.995,0.2518,0.16096,0.57909,0.99251,1,0.70578,0.98508,0.59483,0.66262,0.68778,0.99003,0.99003,0.99003,0.99003,0.99003,0.69975,0.70578,0.49895,0.56667,0.74179,0.69473,1,0.9975,0.67077,0.58033
"wingnut",0.46881,1,0.60115,1,1,1,1,1,1,1,1,1,1,1,1,0.92273,0.83051,0.01225,0.01695,0.01912,0.0277,0.99213,0.83051,0.74754,1,0.80038,1,1,1,1,1,1,1,1,1,1,1,1,0.96133,0.91518,0.55083,0.50799,0.50908,0.51337,0.99606,0.91518,0.4824,1,1,1,1,0.4906,0.63524,0.31864,1,1,1,1,1,1,1,0.03184,0.45536,0.23393,0.0149,0.99213,0.01802,0.9843,0.68324,0.75321,1,1,1,1,0.74505,0.81844,0.69105,1,1,1,1,1,1,1,0.51545,0.72774,0.66117,0.50697,0.99606,0.50853,0.99214,0.84154
"dense",0.25726,1,0.9212,6e-04,0.9212,0.00422,0.9212,0.9212,0.9602,0.9602,0.9602,0.9602,0.9602,0.9602,6e-04,0.29927,0.9602,0.23726,0.32201,0.14942,0.14175,0.16537,0.9602,0.67066,1,0.96044,0.69499,0.96044,0.68252,0.96044,0.96044,0.98,0.98,0.98,0.98,0.98,0.98,0.69499,0.66263,0.98,0.66527,0.68511,0.64767,0.64674,0.64998,0.98,0.47371,1,0.9212,6e-04,0.9212,0.50181,0.35729,0,0.9602,0.9602,0.9602,0.9602,0.9602,0.9602,6e-04,0.90201,0.9602,0.23726,0.9602,0.9406,0.00024,0.16537,0.9602,0.74845,1,0.96044,0.69499,0.96044,0.76038,0.7029,0.70179,0.98,0.98,0.98,0.98,0.98,0.98,0.69499,0.95082,0.98,0.66527,0.98,0.97017,0.5156,0.64998,0.98
