"","Var1","Freq"
"1","2010-07",78
"2","2010-08",79
"3","2010-09",85
"4","2010-10",62
"5","2010-11",58
"6","2010-12",65
"7","2011-01",97
"8","2011-02",85
"9","2011-03",77
"10","2011-04",87
"11","2011-05",79
"12","2011-06",67
"13","2011-07",68
"14","2011-08",82
"15","2011-09",63
"16","2011-10",186
"17","2011-11",140
"18","2011-12",116
"19","2012-01",148
"20","2012-02",102
"21","2012-03",174
"22","2012-04",132
"23","2012-05",88
"24","2012-06",104
"25","2012-07",80
"26","2012-08",77
"27","2012-09",93
"28","2012-10",127
"29","2012-11",114
"30","2012-12",108
"31","2013-01",93
"32","2013-02",108
"33","2013-03",115
"34","2013-04",79
"35","2013-05",90
"36","2013-06",63
"37","2013-07",72
"38","2013-08",91
"39","2013-09",152
"40","2013-10",130
"41","2013-11",85
"42","2013-12",124
"43","2014-01",128
"44","2014-02",96
"45","2014-03",117
"46","2014-04",112
"47","2014-05",99
"48","2014-06",116
"49","2014-07",109
"50","2014-08",93
"51","2014-09",182
"52","2014-10",189
"53","2014-11",162
"54","2014-12",170
"55","2015-01",123
"56","2015-02",134
"57","2015-03",145
"58","2015-04",138
"59","2015-05",160
"60","2015-06",163
"61","2015-07",189
"62","2015-08",165
"63","2015-09",193
"64","2015-10",194
"65","2015-11",131
"66","2015-12",119
"67","2016-01",125
"68","2016-02",100
"69","2016-03",128
"70","2016-04",119
"71","2016-05",113
"72","2016-06",132
"73","2016-07",127
"74","2016-08",116
"75","2016-09",164
"76","2016-10",143
"77","2016-11",131
"78","2016-12",120
"79","2017-01",139
"80","2017-02",107
"81","2017-03",134
"82","2017-04",115
"83","2017-05",109
"84","2017-06",98
"85","2017-07",101
"86","2017-08",103
"87","2017-09",121
"88","2017-10",131
"89","2017-11",120
"90","2017-12",115
"91","2018-01",99
"92","2018-02",97
"93","2018-03",120
"94","2018-04",106
"95","2018-05",112
"96","2018-06",93
"97","2018-07",98
"98","2018-08",82
"99","2018-09",102
"100","2018-10",87
"101","2018-11",91
"102","2018-12",96
"103","2019-01",121
"104","2019-02",98
