"","Var1","Freq"
"1","Barbados",1
"2","Belize",1
"3","Benin",1
"4","Burundi",1
"5","Fiji",1
"6","Libya",1
"7","Malawi",1
"8","Maldives",1
"9","Mali",1
"10","Mauritius",1
"11","Mozambique",1
"12","Oman",1
"13","Panama",1
"14","Papua New Guinea",1
"15","Rwanda",1
"16","San Marino",1
"17","Seychelles",1
"18","Suriname",1
"19","Tajikistan",1
"20","Turkmenistan",1
"21","Tuvalu",1
"22","Vanuatu",1
"23","Zambia",1
"24","Afghanistan",2
"25","Angola",2
"26","Botswana",2
"27","Cameroon",2
"28","Honduras",2
"29","Iraq",2
"30","Monaco",2
"31","Nicaragua",2
"32","Yemen",2
"33","Bahrain",3
"34","Bolivia",3
"35","Kuwait",3
"36","Madagascar",3
"37","Moldova",3
"38","Mongolia",3
"39","Montenegro",3
"40","Myanmar",3
"41","Ecuador",4
"42","Macedonia",4
"43","Sudan",4
"44","Zimbabwe",4
"45","Azerbaijan",5
"46","Qatar",5
"47","Syria",5
"48","Uzbekistan",5
"49","Albania",6
"50","Ethiopia",6
"51","Guatemala",6
"52","Jamaica",6
"53","Kyrgyzstan",6
"54","Cuba",7
"55","El Salvador",7
"56","Lebanon",7
"57","Tanzania",7
"58","Uganda",7
"59","Cyprus",8
"60","Iceland",8
"61","Dominican Republic",9
"62","Jordan",10
"63","Costa Rica",11
"64","Paraguay",11
"65","Saudi Arabia",11
"66","Cambodia",12
"67","Kazakhstan",12
"68","Malta",12
"69","Algeria",13
"70","Luxembourg",13
"71","Peru",13
"72","Ghana",15
"73","Uruguay",15
"74","Armenia",16
"75","Latvia",17
"76","Tunisia",23
"77","Venezuela",23
"78","Bosnia Herzegovina",24
"79","Lithuania",24
"80","Morocco",27
"81","Slovakia",30
"82","Croatia",33
"83","United Arab Emirates",33
"84","Belarus",35
"85","Estonia",36
"86","Kenya",38
"87","Colombia",39
"88","Serbia",39
"89","Slovenia",39
"90","Chile",41
"91","Nepal",45
"92","Taiwan",45
"93","Hungary",54
"94","Korea South",55
"95","Malaysia",55
"96","Egypt",56
"97","Thailand",56
"98","Sri Lanka",61
"99","Hong Kong",70
"100","Greece",74
"101","Nigeria",77
"102","Bulgaria",82
"103","Finland",82
"104","Indonesia",95
"105","Ireland",95
"106","Mexico",95
"107","Japan",103
"108","Portugal",104
"109","Romania",104
"110","New Zealand",107
"111","Norway",108
"112","Argentina",111
"113","Philippines",113
"114","Vietnam",115
"115","Denmark",118
"116","Austria",119
"117","Singapore",120
"118","Belgium",137
"119","Czech Republic",137
"120","Bangladesh",140
"121","South Africa",163
"122","Ukraine",166
"123","Pakistan",170
"124","Israel",171
"125","Sweden",178
"126","Iran",180
"127","Turkey",188
"128","Poland",202
"129","Switzerland",206
"130","Spain",237
"131","China",238
"132","Italy",266
"133","Russian Federation",360
"134","Netherlands",381
"135","Brazil",413
"136","France",426
"137","Australia",468
"138","Canada",678
"139","Germany",823
"140","United Kingdom",1273
"141","India",1945
"142","United States",5111

