"","Var1","Freq"
"1","2010-07",20
"2","2010-08",25
"3","2010-09",12
"4","2010-10",15
"5","2010-11",19
"6","2010-12",14
"7","2011-01",21
"8","2011-02",26
"9","2011-03",18
"10","2011-04",14
"11","2011-05",27
"12","2011-06",28
"13","2011-07",17
"14","2011-08",16
"15","2011-09",10
"16","2011-10",29
"17","2011-11",21
"18","2011-12",16
"19","2012-01",13
"20","2012-02",20
"21","2012-03",23
"22","2012-04",14
"23","2012-05",18
"24","2012-06",20
"25","2012-07",31
"26","2012-08",19
"27","2012-09",22
"28","2012-10",21
"29","2012-11",23
"30","2012-12",15
"31","2013-01",32
"32","2013-02",23
"33","2013-03",39
"34","2013-04",22
"35","2013-05",32
"36","2013-06",21
"37","2013-07",27
"38","2013-08",12
"39","2013-09",17
"40","2013-10",29
"41","2013-11",20
"42","2013-12",23
"43","2014-01",33
"44","2014-02",16
"45","2014-03",22
"46","2014-04",20
"47","2014-05",17
"48","2014-06",22
"49","2014-07",9
"50","2014-08",11
"51","2014-09",15
"52","2014-10",15
"53","2014-11",12
"54","2014-12",25
"55","2015-01",17
"56","2015-02",16
"57","2015-03",26
"58","2015-04",29
"59","2015-05",18
"60","2015-06",19
"61","2015-07",37
"62","2015-08",30
"63","2015-09",27
"64","2015-10",25
"65","2015-11",25
"66","2015-12",24
"67","2016-01",22
"68","2016-02",20
"69","2016-03",21
"70","2016-04",15
"71","2016-05",17
"72","2016-06",25
"73","2016-07",21
"74","2016-08",23
"75","2016-09",29
"76","2016-10",21
"77","2016-11",25
"78","2016-12",36
"79","2017-01",21
"80","2017-02",18
"81","2017-03",24
"82","2017-04",20
"83","2017-05",19
"84","2017-06",18
"85","2017-07",10
"86","2017-08",22
"87","2017-09",18
"88","2017-10",10
"89","2017-11",14
"90","2017-12",25
"91","2018-01",28
"92","2018-02",13
"93","2018-03",21
"94","2018-04",15
"95","2018-05",9
"96","2018-06",15
"97","2018-07",18
"98","2018-08",12
"99","2018-09",14
"100","2018-10",26
"101","2018-11",15
"102","2018-12",21
"103","2019-01",24
"104","2019-02",23
"105","2019-03",2
