"","Var1","Freq"
"1","2010-07",1711
"2","2010-08",1139
"3","2010-09",672
"4","2010-10",754
"5","2010-11",802
"6","2010-12",855
"7","2011-01",1617
"8","2011-02",1239
"9","2011-03",1023
"10","2011-04",942
"11","2011-05",1065
"12","2011-06",977
"13","2011-07",794
"14","2011-08",784
"15","2011-09",669
"16","2011-10",694
"17","2011-11",656
"18","2011-12",971
"19","2012-01",986
"20","2012-02",896
"21","2012-03",1137
"22","2012-04",939
"23","2012-05",808
"24","2012-06",796
"25","2012-07",889
"26","2012-08",874
"27","2012-09",790
"28","2012-10",653
"29","2012-11",613
"30","2012-12",774
"31","2013-01",1058
"32","2013-02",1018
"33","2013-03",949
"34","2013-04",1134
"35","2013-05",941
"36","2013-06",689
"37","2013-07",736
"38","2013-08",700
"39","2013-09",676
"40","2013-10",665
"41","2013-11",550
"42","2013-12",771
"43","2014-01",928
"44","2014-02",709
"45","2014-03",680
"46","2014-04",662
"47","2014-05",629
"48","2014-06",612
"49","2014-07",604
"50","2014-08",598
"51","2014-09",540
"52","2014-10",600
"53","2014-11",610
"54","2014-12",634
"55","2015-01",719
"56","2015-02",573
"57","2015-03",736
"58","2015-04",658
"59","2015-05",694
"60","2015-06",677
"61","2015-07",736
"62","2015-08",754
"63","2015-09",638
"64","2015-10",676
"65","2015-11",670
"66","2015-12",823
"67","2016-01",786
"68","2016-02",705
"69","2016-03",712
"70","2016-04",806
"71","2016-05",722
"72","2016-06",700
"73","2016-07",692
"74","2016-08",624
"75","2016-09",765
"76","2016-10",651
"77","2016-11",678
"78","2016-12",734
"79","2017-01",707
"80","2017-02",652
"81","2017-03",692
"82","2017-04",623
"83","2017-05",574
"84","2017-06",584
"85","2017-07",711
"86","2017-08",771
"87","2017-09",608
"88","2017-10",556
"89","2017-11",557
"90","2017-12",799
"91","2018-01",728
"92","2018-02",495
"93","2018-03",572
"94","2018-04",689
"95","2018-05",556
"96","2018-06",514
"97","2018-07",597
"98","2018-08",612
"99","2018-09",573
"100","2018-10",582
"101","2018-11",520
"102","2018-12",537
"103","2019-01",704
"104","2019-02",676
"105","2019-03",61
