"","Apple","Photo","Bitcoin"
"2010-07",0,543,0
"2010-08",492,995,0
"2010-09",912,1160,0
"2010-10",1118,1441,0
"2010-11",1382,1815,0
"2010-12",1685,2118,0
"2011-01",2286,2576,0
"2011-02",2855,2866,0
"2011-03",3388,3158,0
"2011-04",4283,3437,0
"2011-05",4896,3846,0
"2011-06",5503,4176,0
"2011-07",6556,4453,0
"2011-08",8017,4737,139
"2011-09",8836,5015,471
"2011-10",10029,5289,576
"2011-11",11066,5565,663
"2011-12",12180,5953,757
"2012-01",13662,6326,902
"2012-02",14773,6685,997
"2012-03",15983,7102,1092
"2012-04",16997,7416,1170
"2012-05",17958,7766,1253
"2012-06",18922,8102,1343
"2012-07",20303,8513,1439
"2012-08",21756,8930,1582
"2012-09",22984,9259,1689
"2012-10",24372,9678,1832
"2012-11",25743,10061,1978
"2012-12",27103,10500,2133
"2013-01",28710,10960,2296
"2013-02",30252,11370,2531
"2013-03",31865,11836,3003
"2013-04",33252,12287,3784
"2013-05",34560,12721,4233
"2013-06",35973,13157,4545
"2013-07",37279,13634,4821
"2013-08",38657,14046,5125
"2013-09",40163,14423,5371
"2013-10",42085,14853,5731
"2013-11",43839,15185,6691
"2013-12",45488,15653,8023
"2014-01",47664,16253,8984
"2014-02",49529,16807,9760
"2014-03",51454,17337,10346
"2014-04",53232,17820,10754
"2014-05",54837,18310,11068
"2014-06",56574,18709,11325
"2014-07",58346,19217,11601
"2014-08",60223,19708,11884
"2014-09",62697,20154,12112
"2014-10",65755,20589,12379
"2014-11",68466,21098,12693
"2014-12",71092,21605,12955
"2015-01",73731,22175,13310
"2015-02",76053,22680,13557
"2015-03",78530,23210,13777
"2015-04",81124,23734,14067
"2015-05",83694,24241,14374
"2015-06",86560,24758,14651
"2015-07",89434,25342,15019
"2015-08",92220,25934,15348
"2015-09",95138,26517,15649
"2015-10",98847,27124,15982
"2015-11",101772,27648,16345
"2015-12",104440,28269,16750
"2016-01",107326,28941,17193
"2016-02",109861,29564,17573
"2016-03",112531,30139,17945
"2016-04",114899,30705,18302
"2016-05",117261,31224,18814
"2016-06",119637,31759,19364
"2016-07",122121,32379,19807
"2016-08",124664,33016,20277
"2016-09",127660,33626,20678
"2016-10",130894,34272,21203
"2016-11",135284,35123,22151
"2016-12",139516,35892,23047
"2017-01",144120,36715,24010
"2017-02",148436,37469,25077
"2017-03",152510,38356,26299
"2017-04",156023,39059,27240
"2017-05",159795,39836,29008
"2017-06",163381,40568,30942
"2017-07",166983,41373,32800
"2017-08",170815,42269,35166
"2017-09",174490,43011,37131
"2017-10",178299,43749,39415
"2017-11",182111,44451,42526
"2017-12",185948,45220,47810
"2018-01",190282,46050,51741
"2018-02",193806,46676,53740
"2018-03",197875,47374,55718
"2018-04",201800,48105,57252
"2018-05",205047,48736,58526
"2018-06",207794,49277,59479
"2018-07",210592,49875,60482
"2018-08",213872,50421,61660
"2018-09",217475,51023,62669
"2018-10",221687,51690,63685
"2018-11",225479,52305,64696
"2018-12",228738,52941,65551
"2019-01",232491,53610,66406
"2019-02",235770,54257,67151
"2019-03",235983,54300,67202
